username,match,date,unixdate
zombie_pocalypse,95,2012-11-10 18:33:52 -0500,1352590432
chocobanana7228,91,2012-11-10 18:33:57 -0500,1352590437
seeflips,94,2012-11-10 18:34:03 -0500,1352590443
human-female,93,2012-11-10 18:34:08 -0500,1352590448
jmdazed,83,2012-11-10 18:34:13 -0500,1352590453
laumima,93,2012-11-10 18:34:19 -0500,1352590459
shout_it_out,94,2012-11-10 18:34:25 -0500,1352590465
casazul916,91,2012-11-10 18:34:30 -0500,1352590470
ness1015,83,2012-11-10 18:34:36 -0500,1352590476
peachykeen32,96,2012-11-10 18:34:41 -0500,1352590481
grayseagirl,93,2012-11-10 18:34:47 -0500,1352590487
brookpath,89,2012-11-10 18:34:52 -0500,1352590492
Cas8286,89,2012-11-10 18:34:58 -0500,1352590498
kzieneenberewuf,91,2012-11-10 18:35:03 -0500,1352590503
_puravida,81,2012-11-10 18:35:09 -0500,1352590509
Snowie7,93,2012-11-10 18:35:14 -0500,1352590514
Amaltheas,81,2012-11-10 18:35:20 -0500,1352590520
miranda_tempest,92,2012-11-10 18:35:25 -0500,1352590525
AspenLikeATree,95,2012-11-10 18:35:30 -0500,1352590530
mdvt,94,2012-11-10 18:35:36 -0500,1352590536
janeboston,84,2012-11-10 18:35:42 -0500,1352590542
cuteoptimist,92,2012-11-10 18:35:47 -0500,1352590547
nola67,81,2012-11-10 18:35:53 -0500,1352590553
SgtPepperjack,91,2012-11-10 18:35:58 -0500,1352590558
igotfiveonit,89,2012-11-10 18:36:04 -0500,1352590564
kyxcereal,96,2012-11-10 18:36:09 -0500,1352590569
HotPotOfCoffee,93,2012-11-10 18:36:14 -0500,1352590574
rycb4294,88,2012-11-10 18:36:20 -0500,1352590580
rosasky88,94,2012-11-10 18:36:25 -0500,1352590585
ecglover,86,2012-11-10 18:36:31 -0500,1352590591
rndm88,90,2012-11-10 18:36:36 -0500,1352590596
Gone2Plaid,88,2012-11-10 18:36:42 -0500,1352590602
tangldupinblue,90,2012-11-10 18:36:47 -0500,1352590607
Cup_oh_Tea,80,2012-11-10 18:36:53 -0500,1352590613
erikaamerika,93,2012-11-10 18:36:59 -0500,1352590619
b_fair,95,2012-11-10 18:37:04 -0500,1352590624
Alexandra_E,85,2012-11-10 18:37:10 -0500,1352590630
mallorieekstr%C3%B6m,83,2012-11-10 18:37:15 -0500,1352590635
aila_chan,89,2012-11-10 18:37:21 -0500,1352590641
Japple_,94,2012-11-10 18:37:26 -0500,1352590646
valadamski,92,2012-11-10 18:37:32 -0500,1352590652
ipwntheworld21,89,2012-11-10 18:37:37 -0500,1352590657
Eden0713,84,2012-11-10 18:37:43 -0500,1352590663
Jeslowen,88,2012-11-10 18:37:48 -0500,1352590668
emzz517,95,2012-11-10 18:37:53 -0500,1352590673
kkiramarie,92,2012-11-10 18:37:59 -0500,1352590679
rach708,86,2012-11-10 18:38:04 -0500,1352590684
smchap,92,2012-11-10 18:38:10 -0500,1352590690
mdvt,94,2012-11-10 18:38:16 -0500,1352590696
AnnieHavoc,92,2012-11-10 18:38:21 -0500,1352590701
daft_funk,91,2012-11-10 18:38:27 -0500,1352590707
Not_a_Blueberry,95,2012-11-10 18:38:32 -0500,1352590712
ljyob,92,2012-11-10 18:38:38 -0500,1352590718
AUe12,94,2012-11-10 18:38:43 -0500,1352590723
sylvster,84,2012-11-10 18:38:49 -0500,1352590729
tqzzz2,94,2012-11-10 18:38:54 -0500,1352590734
lauren116,96,2012-11-10 18:39:00 -0500,1352590740
JaneBird,92,2012-11-10 18:39:05 -0500,1352590745
avataylor,92,2012-11-10 18:39:11 -0500,1352590751
aameliee,94,2012-11-10 18:39:16 -0500,1352590756
ilikeyoumaude,93,2012-11-10 18:39:22 -0500,1352590762
Julzie07,87,2012-11-10 18:39:27 -0500,1352590767
ShVaughan,89,2012-11-10 18:39:33 -0500,1352590773
coopers12,90,2012-11-10 18:39:38 -0500,1352590778
blckbrd11,91,2012-11-10 18:39:44 -0500,1352590784
Fructose7,92,2012-11-10 18:39:49 -0500,1352590789
SophyThatsThat,96,2012-11-10 18:39:55 -0500,1352590795
Missy1019,93,2012-11-10 18:40:00 -0500,1352590800
mwildhack,94,2012-11-10 18:40:06 -0500,1352590806
impossibleecho,90,2012-11-10 18:40:11 -0500,1352590811
CrAeVIery,83,2012-11-10 18:40:17 -0500,1352590817
samantharose18,89,2012-11-10 18:40:22 -0500,1352590822
jms5704,90,2012-11-10 18:40:28 -0500,1352590828
NorthernEmu,91,2012-11-10 18:40:33 -0500,1352590833
kjm1989,88,2012-11-10 18:40:38 -0500,1352590838
CaseA,97,2012-11-10 18:40:44 -0500,1352590844
mcallistera,92,2012-11-10 18:40:50 -0500,1352590850
V-Lovely,94,2012-11-10 18:40:55 -0500,1352590855
schmabbs,94,2012-11-10 18:41:01 -0500,1352590861
meb1184,87,2012-11-10 18:41:06 -0500,1352590866
AEG413,87,2012-11-10 18:41:12 -0500,1352590872
Liza_06,92,2012-11-10 18:41:17 -0500,1352590877
callmemaybe72,76,2012-11-10 18:41:22 -0500,1352590882
tomiundergallow,74,2012-11-10 18:41:28 -0500,1352590888
tashinka3,86,2012-11-10 18:41:34 -0500,1352590894
JingJing11,87,2012-11-10 18:41:39 -0500,1352590899
MyInitials24,92,2012-11-10 18:41:44 -0500,1352590904
racg874095,92,2012-11-10 18:41:50 -0500,1352590910
adrianakr,90,2012-11-10 18:41:55 -0500,1352590915
shemightbelinzy,81,2012-11-10 18:42:01 -0500,1352590921
genben9,95,2012-11-10 18:42:07 -0500,1352590927
jeunething,91,2012-11-10 18:42:12 -0500,1352590932
thekid2216,92,2012-11-10 18:42:18 -0500,1352590938
amanda_g22,85,2012-11-10 18:42:23 -0500,1352590943
gogirl22,79,2012-11-10 18:42:29 -0500,1352590949
maskedgrrrl,88,2012-11-10 18:42:34 -0500,1352590954
MarlahhSinger,85,2012-11-10 18:42:40 -0500,1352590960
summahtime88,95,2012-11-10 18:42:45 -0500,1352590965
parisiennel,87,2012-11-10 18:42:51 -0500,1352590971
cannu,91,2012-11-10 18:42:56 -0500,1352590976
chexthe,94,2012-11-10 18:43:02 -0500,1352590982
_SweetandLow_,86,2012-11-10 18:43:07 -0500,1352590987
maebe_funke,94,2012-11-10 18:43:13 -0500,1352590993
theeamesera,85,2012-11-10 18:43:18 -0500,1352590998
NC585,89,2012-11-10 18:43:24 -0500,1352591004
